Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Cattai Ridge Rd, Glenorie",RU2,4097 m²,"$1,310,000","$1,310,000",0.0%
"Haerses Rd, Maroota",RU1,6.319 ha,"$1,480,000","$1,520,000",2.7%
