Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Bingara Rd, Barraba",RU4,23.68 ha,"$163,000","$170,000",4.3%
"Bayliss Lane, Bithramere",RU1,181.9 ha,"$2,270,000","$2,150,000",-5.3%
"Burgmanns Lane, Kingswood",RU4,7.863 ha,"$506,000","$506,000",0.0%
"Davidsons Lane, Moore Creek",RU1,2.169 ha,"$325,000","$325,000",0.0%
"Namoi River Rd, Namoi River",RU1,248.599 ha,"$817,000","$900,000",10.2%
"Cross Park Rd, Nemingha",RU4,14.265 ha,"$675,000","$675,000",0.0%
"Nowendoc Rd, Niangala",RU1,121.4 ha,"$757,000","$757,000",0.0%
"River Rd, Nundle",RU4,2.516 ha,"$220,000","$220,000",0.0%
"Bungendore Spur Rd, Watsons Creek",RU1,707.9 ha,"$637,000","$637,000",0.0%
