"Address","Zone","Area","01 Jul 2023","01 Jul 2024","% change"
"Hyde St, Bellingen","E1","502.2 m²","$660,000","$695,000","5.3%"
"Hickory St, Dorrigo","E1","500.1 m²","$190,000","$190,000","0.0%"
"Bonville St, Urunga","E1","787 m²","$635,000","$635,000","0.0%"
