Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Young St, Bimbi",RU1,7209 m²,"$20,400","$20,400",0.0%
"Morans Rd, Bribbaree",RU1,218.53 ha,"$1,870,000","$2,240,000",19.8%
"Mid Western Hwy, Bumbaldry",RU1,41.36 ha,"$231,000","$231,000",0.0%
"Iandra Rd, Greenethorpe",RU1,213.475 ha,"$2,350,000","$2,350,000",0.0%
"Mid Western Hwy, Grenfell",RU1,290 m²,$520,$520,0.0%
"Mid Western Hwy, Grenfell",RU1,225.66 ha,"$1,890,000","$1,890,000",0.0%
"Yambira Rd, Grenfell",RU1,290.2 ha,"$698,000","$698,000",0.0%
Grenfell,RU1,299.95 ha,"$1,490,000","$1,410,000",-5.4%
"Adelargo Rd, Warraderry",RU1,325.1 ha,"$2,270,000","$2,270,000",0.0%
