Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Oxford Falls Rd, Frenchs Forest",R,3263 m²,"$2,250,000","$2,500,000",11.1%
"Ingleside Rd, Ingleside",RU2,2295 m²,"$1,900,000","$2,010,000",5.8%
"Ingleside Rd, Ingleside",RU2,4121 m²,"$2,250,000","$2,450,000",8.9%
"Cooyong Rd, Terrey Hills",RU4,1.821 ha,"$4,880,000","$5,570,000",14.1%
"Orchard St, Warriewood",RU2,9766 m²,"$2,850,000","$3,000,000",5.3%
