Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Armatree Rd, Armatree",RU1,542.1 ha,"$1,830,000","$1,920,000",4.9%
"Cadonia Rd, Armatree",RU1,467.1 ha,"$1,380,000","$1,510,000",9.4%
"Gundy Creek Rd, Bearbong",RU1,625.2 ha,"$1,040,000","$1,180,000",13.5%
"Newell Hwy, Biddon",RU1,225 m²,"$1,330","$1,330",0.0%
"Alchins Access Rd, Gilgandra",RU1,500 ha,"$612,000","$612,000",0.0%
"Mahers Hill Rd, Gilgandra",RU1,23.97 ha,"$130,000","$149,000",14.6%
"Bridge St, Tooraweenah",RU1,1480 m²,"$8,940","$8,940",0.0%
"Rohrs Rd, Tooraweenah",RU1,25.31 ha,"$91,900","$96,400",4.9%
