Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Reids Rd, Bellingen",RU4,2.384 ha,"$710,000","$710,000",0.0%
"Waterfall Way, Bellingen",RU1,2 ha,"$658,000","$658,000",0.0%
"Shephards Rd, Bielsdown Hills",RU1,63.18 ha,"$2,000,000","$1,900,000",-5.0%
"Tyringham Rd, Bostobrick",RU2,13.69 ha,"$450,000","$450,000",0.0%
"Waterfall Way, Deer Vale",RU1,5.529 ha,"$295,000","$300,000",1.7%
"Beverleys Rd, Megan",RU2,128.3 ha,"$1,600,000","$1,540,000",-3.8%
"Brutons Rd, Raleigh",RU1,53.46 ha,"$1,130,000","$1,130,000",0.0%
"Bowraville Rd, Spicketts Creek",RU2,5.85 ha,"$575,000","$575,000",0.0%
