Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Gravesend Rd, Gravesend",RU1,712.647 ha,"$460,000","$989,000",115.0%
"Carnarvon Hwy, Moree",RU1,1201 m²,"$93,400","$93,400",0.0%
"Stonnington Lane, Moree",RU4,10.12 ha,"$250,000","$275,000",10.0%
"Vitonga Rd, Moree",RU1,18.95 ha,"$286,000","$295,000",3.2%
Mungindi,RU1,1947 ha,"$5,790,000","$5,790,000",0.0%
"Wongabindie Rd, Pallamallawa",RU1,468.8 ha,"$4,250,000","$4,670,000",9.9%
