Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Langley Rd, Balfours Peak",RU1,394.6 ha,"$2,920,000","$3,060,000",4.8%
"Kemps Rd, Coolatai",RU1,790.2 ha,"$2,310,000","$2,540,000",10.0%
"Copeton Dam Rd, Copeton",RU1,555.38 ha,"$492,000","$492,000",0.0%
"Cobbadah Rd, Dinoga",RU1,576.359 ha,"$1,120,000","$1,450,000",29.5%
"River Rd, Gravesend",RU1,182 ha,"$733,000","$874,000",19.2%
"Blue Nobby Rd, North Star",RU1,636 ha,"$5,100,000","$6,370,000",24.9%
"County Boundary Rd, Pallamallawa",RU1,1.01 ha,"$4,000","$4,000",0.0%
"Michaels Lane, Warialda",RU1,41.26 ha,"$121,000","$121,000",0.0%
