Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Merrigal St, Armatree",RU5,3920 m²,"$15,600","$15,600",0.0%
"Brownwood Dr, Gilgandra",R5,2.103 ha,"$106,000","$111,000",4.7%
"Court St, Gilgandra",R1,966.2 m²,"$26,500","$39,700",49.8%
"Dudley St, Gilgandra",R1,815.7 m²,"$29,100","$43,600",49.8%
"Warren Rd, Gilgandra",R1,6037 m²,"$53,500","$80,200",49.9%
"Brennan St, Tooraweenah",RU5,1771 m²,"$19,900","$19,900",0.0%
