Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Dalley St, Coolabah",RU5,2023 m²,"$1,990","$4,490",125.6%
"Myall St, Girilambone",RU5,1012 m²,"$5,000","$5,000",0.0%
"Mouramba St, Hermidale",RU5,2023 m²,"$8,000","$8,000",0.0%
"Cannonbar St, Nyngan",R1,973.8 m²,"$31,000","$40,300",30.0%
"Ellen St, Nyngan",R1,3044 m²,"$54,000","$70,200",30.0%
"Jubilee St, Nyngan",R5,1.214 ha,"$126,000","$163,000",29.4%
"Nymagee St, Nyngan",R1,1012 m²,"$21,200","$27,500",29.7%
"Oatley St, Nyngan",R1,4050 m²,"$78,700","$102,000",29.6%
