Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Torquay Cct, Red Head",R1,700 m²,"$465,000","$420,000",-9.7%
"Kinka Rd, Seal Rocks",RU5,691.1 m²,"$1,260,000","$1,260,000",0.0%
"Amaroo Dr, Smiths Lake",RU5,841.5 m²,"$655,000","$640,000",-2.3%
"Paradise Dr, Smiths Lake",R5,1.08 ha,"$690,000","$690,000",0.0%
"Third Ridge Rd, Smiths Lake",RU5,648.9 m²,"$330,000","$300,000",-9.1%
"Wood St, Stratford",RU5,2023 m²,"$150,000","$160,000",6.7%
"Briton Court Rd, Stroud",R5,4997 m²,"$420,000","$420,000",0.0%
"Church St, Stroud",RU5,1239 m²,"$205,000","$240,000",17.1%
"Reidsdale Rd, Stroud Road",RU5,1126 m²,"$130,000","$160,000",23.1%
"Coastal View Dr, Tallwoods Village",R1,740 m²,"$260,000","$240,000",-7.7%
"Windsor St, Tarbuck Bay",RU5,725 m²,"$280,000","$280,000",0.0%
"Deb St, Taree",R1,885.2 m²,"$243,000","$235,000",-3.3%
"Dunoon St, Taree",R1,576 m²,"$110,000","$110,000",0.0%
"Eric St, Taree",R1,506.4 m²,"$210,000","$195,000",-7.1%
"King Valley Dr, Taree",R1,1080 m²,"$280,000","$280,000",0.0%
"Pioneer St, Taree",R1,999.1 m²,"$230,000","$230,000",0.0%
"Talawong Dr, Taree",R1,700.5 m²,"$195,000","$205,000",5.1%
"Victoria St, Taree",MU1,784.1 m²,"$260,000","$286,000",10.0%
"Denva Rd, Taree South",R5,1.534 ha,"$410,000","$410,000",0.0%
"Ayres Ave, Tea Gardens",R2,780 m²,"$410,000","$410,000",0.0%
"Jacob St, Tea Gardens",R3,1758 m²,"$600,000","$620,000",3.3%
"Wombourne Rd, Tea Gardens",R5,6843 m²,"$540,000","$560,000",3.7%
"Peveril St, Tinonee",R1,809.4 m²,"$235,000","$220,000",-6.4%
"Beach St, Tuncurry",MU1,594.4 m²,"$700,000","$750,000",7.1%
"Bent St, Tuncurry",R3,765.1 m²,"$515,000","$525,000",1.9%
"De Lore Cres, Tuncurry",R2,665 m²,"$430,000","$460,000",7.0%
"Mount View Pde, Tuncurry",R2,651.1 m²,"$952,000","$970,000",1.9%
"Tulloch Rd, Tuncurry",R5,7191 m²,"$615,000","$650,000",5.7%
"Shantull Dr, Wallabi Point",R1,982.9 m²,"$470,000","$470,000",0.0%
"Ward St, Wards River",RU5,1012 m²,"$130,000","$135,000",3.9%
"Abbott St, Wingham",R1,4510 m²,"$350,000","$350,000",0.0%
"Blue Gum Ave, Wingham",R1,696.8 m²,"$210,000","$210,000",0.0%
"Killawarra St, Wingham",R1,878.9 m²,"$220,000","$220,000",0.0%
"Kingfisher Dr, Wingham",R5,1.447 ha,"$350,000","$375,000",7.1%
"Primrose St, Wingham",MU1,670.2 m²,"$180,000","$180,000",0.0%
"Sunset Ave, Wingham",R1,752.5 m²,"$235,000","$230,000",-2.1%
