Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Tops Rd, Nowendoc",R5,6.273 ha,"$145,000","$145,000",0.0%
"Middle St, Walcha",C4,5071 m²,"$145,000","$145,000",0.0%
"North St, Walcha",R1,1260 m²,"$100,000","$100,000",0.0%
"Oxley Dr, Walcha",R5,2.649 ha,"$255,000","$255,000",0.0%
"South St, Walcha",MU1,1012 m²,"$83,000","$83,000",0.0%
"Church St, Woolbrook",RU5,4047 m²,"$78,000","$78,000",0.0%
