Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Seaham St, Holmesville",R2,2125 m²,"$578,000","$600,000",3.8%
"William St, Holmesville",R2,809.4 m²,"$393,000","$430,000",9.4%
"Silverdale Pde, Jewells",R2,614.6 m²,"$505,000","$520,000",3.0%
"Collarena Cres, Kahibah",R2,562.8 m²,"$566,000","$605,000",6.9%
"Murrakin St, Kahibah",R3,645 m²,"$650,000","$700,000",7.7%
"Kilaben Rd, Kilaben Bay",R2,556.4 m²,"$460,000","$495,000",7.6%
"Lake View Rd, Kilaben Bay",C4,6728 m²,"$695,000","$695,000",0.0%
"Geordie St, Killingworth",R2,1012 m²,"$390,000","$400,000",2.6%
"Blackbutt Pde, Kotara South",R2,588.1 m²,"$451,000","$480,000",6.4%
"Kenneth St, Kotara South",R2,645 m²,"$570,000","$590,000",3.5%
"Colton Cres, Lakelands",R2,826.6 m²,"$557,000","$580,000",4.1%
"Amsdale Ave, Macquarie Hills",R2,550.1 m²,"$356,000","$420,000",18.0%
"Findon St, Marks Point",R2,594.4 m²,"$485,000","$505,000",4.1%
"Marks Pde, Marks Point",R2,474.2 m²,"$1,270,000","$1,270,000",0.0%
"Village Bay Cl, Marks Point",R3,461.6 m²,"$700,000","$750,000",7.1%
"High St, Marmong Point",R2,607 m²,"$510,000","$520,000",2.0%
"Kelowna Ave, Morisset",R2,607 m²,"$370,000","$390,000",5.4%
"Mandolong St, Morisset",R3,695.5 m²,"$415,000","$430,000",3.6%
"Dunkley Pde, Mount Hutton",R2,2.13 ha,"$2,340,000","$2,340,000",0.0%
"Helen St, Mount Hutton",R3,600.7 m²,"$415,000","$440,000",6.0%
"Kestrel Ave, Mount Hutton",R2,661 m²,"$400,000","$410,000",2.5%
"Warners Bay Rd, Mount Hutton",C4,8094 m²,"$1,340,000","$1,340,000",0.0%
"Warners Bay Rd, Mount Hutton",R3,8911 m²,"$2,670,000","$2,670,000",0.0%
"Forest Owl Cres, Murrays Beach",R1,756 m²,"$506,000","$520,000",2.8%
"Government Rd, Nords Wharf",R2,792 m²,"$574,000","$590,000",2.8%
"Havana Way, Nords Wharf",R2,540 m²,"$535,000","$520,000",-2.8%
"Marine Pde, Nords Wharf",R2,1039.7 m²,"$1,310,000","$1,400,000",6.9%
"Mine Camp Rd, Pinny Beach",R1,1258 m²,"$89,200","$105,000",17.7%
"Hasluck Dr, Rankin Park",R2,679.7 m²,"$560,000","$550,000",-1.8%
"Fishing Point Rd, Rathmines",R3,526.7 m²,"$490,000","$500,000",2.0%
"Karie Pl, Rathmines",R2,615.4 m²,"$425,000","$410,000",-3.5%
"Shortland St, Redhead",R2,673.8 m²,"$969,000","$1,060,000",9.4%
"Woods St, Redhead",R3,474.2 m²,"$850,000","$950,000",11.8%
"Fourth St, Seahampton",R2,758.8 m²,"$364,000","$364,000",0.0%
"Barford St, Speers Point",R3,398.4 m²,"$494,000","$525,000",6.3%
"Berkeley St, Speers Point",R2,569.1 m²,"$576,000","$620,000",7.6%
"Berkeley St, Speers Point",R2,661.7 m²,"$727,000","$760,000",4.5%
"Kirai Dr, Speers Point",C4,600 m²,"$810,000","$810,000",0.0%
"The Esplanade , Speers Point",R2,954.8 m²,"$926,000","$950,000",2.6%
"Maitland Ave, Sunshine",R2,581.7 m²,"$400,000","$400,000",0.0%
"Bay St, Swansea",R3,695.6 m²,"$585,000","$650,000",11.1%
"Channel St, Swansea",R2,505.9 m²,"$1,230,000","$1,260,000",2.4%
"Lakeside Dr, Swansea",R2,556.4 m²,"$790,000","$820,000",3.8%
"Sturt St, Swansea",R2,645 m²,"$559,000","$570,000",2.0%
"Northcote Ave, Swansea Heads",R2,726.5 m²,"$848,000","$870,000",2.6%
"Cockle Cres, Teralba",R2,528 m²,"$430,000","$440,000",2.3%
"York St, Teralba",R3,1011 m²,"$515,000","$530,000",2.9%
"James St, Tingira Heights",R2,607 m²,"$475,000","$495,000",4.2%
"Anzac Pde, Toronto",R2,796.7 m²,"$355,000","$365,000",2.8%
"Brighton Ave, Toronto",MU1,796.7 m²,"$520,000","$520,000",0.0%
"Casuarina Cl, Toronto",R2,702.1 m²,"$336,000","$353,000",5.1%
"Cook St, Toronto",R2,600.7 m²,"$425,000","$450,000",5.9%
"Tora St, Toronto",R2,556.4 m²,"$310,000","$340,000",9.7%
"Berringar Rd, Valentine",R3,828.3 m²,"$1,070,000","$1,100,000",2.8%
"Camelot Cl, Valentine",R2,625.6 m²,"$536,000","$560,000",4.5%
"Dilkera Ave, Valentine",R2,588.1 m²,"$1,300,000","$1,300,000",0.0%
"Dilkera Ave, Valentine",R2,964.3 m²,"$2,830,000","$2,750,000",-2.8%
"Lindsay Ave, Valentine",R2,531.1 m²,"$502,000","$515,000",2.6%
"Victor Ave, Valentine",R2,594.4 m²,"$648,000","$670,000",3.4%
"Beach Rd, Wangi Wangi",R2,809.4 m²,"$511,000","$545,000",6.7%
"Kummari Rd, Wangi Wangi",R2,815.7 m²,"$405,000","$410,000",1.2%
"Watkins Rd, Wangi Wangi",R2,999.1 m²,"$998,000","$1,070,000",7.2%
"Albert St, Warners Bay",MU1,809.4 m²,"$840,000","$840,000",0.0%
"East St, Warners Bay",R2,680.2 m²,"$565,000","$600,000",6.2%
"Yorston St, Warners Bay",R3,746.4 m²,"$720,000","$750,000",4.2%
"Carrington St, West Wallsend",R2,784.1 m²,"$419,000","$425,000",1.4%
"Burwood Rd, Whitebridge",R2,786.4 m²,"$902,000","$990,000",9.8%
"Lonus Ave, Whitebridge",R3,689.2 m²,"$705,000","$750,000",6.4%
"Tumpoa St, Whitebridge",R2,689.2 m²,"$699,000","$740,000",5.9%
"Belar Ave, Windale",R2,695.6 m²,"$352,000","$380,000",8.0%
"Boree Ave, Windale",R3,657.6 m²,"$341,000","$375,000",10.0%
"Baldwin Bvd, Windermere Park",R2,1012 m²,"$405,000","$395,000",-2.5%
"Badjewoi St, Wyee",R2,1011.83 m²,"$395,000","$458,000",16.0%
"Payne St, Wyee",R2,536.2 m²,"$448,000","$420,000",-6.3%
"Waropara Rd, Wyee",R2,695.6 m²,"$161,000","$185,000",14.9%
"Benamba St, Wyee Point",R2,750 m²,"$401,000","$417,000",4.0%
"Garrick St, Wyee Point",R2,1618.8 m²,"$54,600","$56,800",4.0%
"Mulwala Dr, Wyee Point",R2,770 m²,"$903,000","$930,000",3.0%
