Address,Zone,Area,01 Jul 2023,01 Jul 2024,% change
"Castlereagh Hwy, Coonamble",R1,4186 m²,"$81,100","$81,100",0.0%
"Eurimie St, Coonamble",R1,917 m²,"$31,300","$31,300",0.0%
"Namoi St, Coonamble",R1,791.5 m²,"$33,800","$33,800",0.0%
"Wilga St, Coonamble",R5,7.502 ha,"$123,000","$123,000",0.0%
"Coonamble St, Gulargambone",RU5,1012 m²,"$5,180","$5,180",0.0%
"Weribidee St, Quambone",RU5,2023 m²,"$4,050","$4,050",0.0%
